localidade,tipo,loc_x,loc_y,mercado_mais_proximo,farmacia_mais_proxima,escola_mais_proxima,num_penit_4km,num_penit_500m,idade_imovel,area,preco
Localidade 4,Tipo 1,0.0813815529824973,0.7270212232023068,3603.941383841504,2002.686030260091,1124.043112727259,0,0,4,123.0,731600
Localidade 4,Tipo 2,0.3679802831811765,0.1458117610463485,2185.2091388771137,683.8118615549121,2462.825432022666,0,0,13,143.0,318600
Localidade 3,Tipo 2,0.3326541806713556,0.4329043986046362,1025.6983389324494,957.451551701899,1049.1121171802624,0,0,12,150.0,1000800
Localidade 4,Tipo 1,0.159662960072023,0.8845961149534195,,3723.067389723022,1296.121182196671,0,0,8,160.0,678200
Localidade 3,Tipo 1,0.1561544470113155,0.8363197733232548,3925.306331083371,705.8073427817645,4178.062758488525,0,0,12,134.0,1215100
Localidade 3,Tipo 2,0.091367207376991,0.2281849863359345,4155.304956727835,3362.470136311571,449.703395388467,0,0,2,136.0,1174000
Localidade 4,Tipo 2,0.5950764453737584,0.399175855669156,2875.015623807049,2242.262259516438,1427.3777092893972,0,0,14,79.0,302400
Localidade 2,Tipo 2,0.6111052610262648,0.9058267026795466,4736.052163939499,1716.764469912615,2497.8513734557423,1,0,7,102.0,307100
Localidade 2,Tipo 1,0.949489917221316,0.3812463548477371,2416.275513731369,884.1560756413443,2366.4818367150647,0,0,14,209.0,185300
Localidade 1,Tipo 2,0.4904313343954244,0.0339819003813475,3944.8301630777664,6230.157658070039,1430.4700107585766,0,0,16,161.0,436900
Localidade 2,Tipo 1,0.0350802678360431,0.3274450629494785,799.7908728708979,6501.385862095796,5919.078218835608,0,0,9,130.0,203800
Localidade 4,Tipo 2,0.9053810240973548,0.3172891702259199,3815.33493415994,4563.944917537496,1060.486647898347,0,0,9,137.0,334600
Localidade 1,Tipo 2,0.0642106300475336,0.9108645776592832,5805.890537259443,1778.2966135067286,530.2554578644614,0,0,0,115.0,607000
Localidade 2,Tipo 1,0.467855895647336,0.1350948519852591,2690.558984630803,4356.719515670143,4009.629294425593,0,0,14,121.0,179100
Localidade 4,Tipo 2,0.1346800058004821,0.3777660208434584,127.83634655356356,1753.5514188375405,902.0057546376198,0,0,7,80.0,375600
Localidade 1,Tipo 2,0.4058454945572257,0.4819392683492436,1219.78354474897,1680.3535671165082,,1,0,10,151.0,444500
Localidade 2,Tipo 1,0.505489753415182,0.5942538229829656,1973.604354622248,1665.0660737953526,820.1569409644692,1,0,8,196.0,188500
Localidade 1,Tipo 2,0.7237537051468391,0.5767604451157815,2728.215996443684,,1161.94402202671,0,0,11,68.0,483600
Localidade 2,Tipo 1,0.0223824284299829,0.6703085500991114,4161.214643882433,5060.047221366595,4912.214830074143,1,0,4,154.0,195300
Localidade 1,Tipo 2,0.5232950721146006,0.7580882446838313,4172.303625211822,1681.896230819674,2365.1144873657327,0,0,14,70.0,451500
Localidade 1,Tipo 2,0.8576771901666369,0.3101142746101686,4265.660216435803,2443.160243265998,1084.516398469319,0,0,14,181.0,458300
Localidade 2,Tipo 2,0.6341236855615737,0.9981486346671296,5184.704839809548,2638.411239221179,3440.8712629023294,1,0,5,147.0,317800
Localidade 2,Tipo 1,0.4396561631764119,0.7579568156196367,3701.356014092025,807.2960862544227,1104.6182436843287,1,0,6,174.0,198200
Localidade 1,Tipo 2,0.9459050720192232,0.5788894663401983,1473.4518989694825,471.6541312094536,1745.6889149604765,0,0,14,159.0,478500
Localidade 1,Tipo 2,0.7145368407871905,0.2263282649092499,4241.590941596024,3985.097974087045,1106.3645733483004,0,0,15,76.0,449300
Localidade 2,Tipo 1,0.1213736871053,0.8573949737151878,6019.4357807588985,4106.765878488318,4321.701838620229,1,0,3,131.0,199200
Localidade 4,Tipo 2,0.7703001584752043,0.199148564457003,2058.545023989537,4629.6661463843975,1741.3995943352063,0,0,6,60.0,347400
Localidade 2,Tipo 2,0.8107141506657666,0.1772957558747809,,1456.4408891142189,2825.427674316812,0,0,2,159.0,392700
Localidade 1,Tipo 2,0.5144762439935123,0.7117940866160165,3726.280420144124,,1987.888281936527,0,0,5,156.0,534600
Localidade 3,Tipo 1,0.7662752973320642,0.9311126761573896,349.37174438733246,2425.285011782404,2422.6381207558707,0,0,28,67.0,896400
Localidade 2,Tipo 2,0.7696281925230615,0.5987003083985998,2198.876429894633,1579.861103852667,1605.57807341865,1,0,12,140.0,281100
Localidade 3,Tipo 1,0.5152536447222561,0.1922946918878619,806.4372133209521,3977.952685325503,1168.0775726835382,0,0,33,129.0,796900
Localidade 2,Tipo 2,0.0634894462753198,0.5759092930963755,3187.189984390244,4925.9807003048645,4610.497637419501,1,0,4,131.0,323300
Localidade 3,Tipo 2,0.7249677859205882,0.6211734988950323,1903.508232660021,2277.2817736045627,2200.4186818593084,0,0,40,113.0,514400
Localidade 2,Tipo 1,0.2277414113596004,0.8900480874194929,5751.943515206685,3201.7473906825458,3571.715352290272,1,0,7,132.0,183100
Localidade 2,Tipo 1,0.8207458867881762,0.3285469958951115,2017.9463832338968,481.4155624447863,1532.127313794099,0,0,2,,235100
Localidade 3,Tipo 2,0.8682524694958091,0.0329379232382558,3335.3571755310822,1633.4730060246482,,0,0,15,132.0,886500
Localidade 2,Tipo 1,0.4952519567337258,0.9454672554856984,,1870.6426677809663,2702.18751913385,1,0,1,154.0,203900
Localidade 2,Tipo 1,0.8991542645894828,0.6729899240994107,1040.3899392956582,1690.3615716929685,2885.3841326506763,1,0,4,92.0,198700
Localidade 3,Tipo 1,0.5265764353769369,0.2700261027155712,825.3380552825796,3471.4758467360657,1488.2203543227035,0,0,29,83.0,861000
Localidade 3,Tipo 1,0.0591239926921359,0.3251860182004999,3817.47095940932,2842.135135658212,1462.006872274802,0,0,49,161.0,509200
Localidade 2,Tipo 1,0.7085385457454455,0.639920225732319,2807.010681569299,2232.804981076587,1949.0959153198776,1,0,5,72.0,190600
Localidade 2,Tipo 1,0.3365406329159214,0.1677210204442436,2778.0146965718377,,4748.683131447401,0,0,4,134.0,218000
Localidade 2,Tipo 1,0.8463658194596061,0.8112570182704036,2385.3367932146966,3112.695251155851,3592.784643448117,1,0,15,118.0,159300
Localidade 3,Tipo 2,0.4834202539266745,0.6327280328148747,1482.91624802505,2417.4661781175405,1779.561816474884,0,0,20,93.0,808400
Localidade 1,Tipo 1,0.2127143246606553,0.8260551246858144,4484.663393746469,,1327.0897196420226,0,0,6,87.0,876900
Localidade 1,Tipo 2,0.4229514743782703,0.1335497243169042,2763.987708616857,5168.283516745284,348.9700267852381,1,0,4,100.0,512000
Localidade 1,Tipo 1,0.7125400291252695,0.360679745150553,3898.7054385456713,3156.007265352886,1555.125340074782,0,0,16,102.0,724100
Localidade 4,Tipo 2,0.9381132945530192,0.6146137933967072,6150.026385788241,3731.212703953197,2627.442958550348,0,0,7,124.0,338200
Localidade 4,Tipo 2,0.9235684598117646,0.5396447064801722,5462.397560539332,3677.148004184408,2044.236616322857,0,0,11,86.0,317100
Localidade 2,Tipo 1,0.5980733514783938,0.3420654471649786,915.8906058011293,2695.754989559234,1611.7735622215869,0,0,2,,230000
Localidade 2,Tipo 2,0.1989334211950755,0.0655803957103939,2290.969598168668,7111.178230763632,6462.285632492193,0,0,3,117.0,365500
Localidade 3,Tipo 2,0.6321630069432588,0.6049992907391994,1306.0500447080833,3204.618373645922,1925.1894009909863,0,0,30,187.0,657600
Localidade 2,Tipo 1,0.5034405980030989,0.3386299941449925,632.4179933874403,3635.051150154944,2430.1777275120144,0,0,0,118.0,240800
Localidade 3,Tipo 2,0.5170160266307874,0.1374263580251448,1103.1627326586831,4437.595498288139,844.4598052711634,0,0,11,71.0,998400
Localidade 1,Tipo 2,0.1017439549741652,0.9903523433472998,6386.462260068643,2639.134712489418,741.3618734568786,0,0,16,73.0,448500
Localidade 1,Tipo 2,0.587586877672203,0.3104139759176787,2759.0206100715627,,655.7824546989848,0,0,3,77.0,572400
Localidade 2,Tipo 2,0.9594173854009704,0.5480719393370278,773.1318689818844,771.7885589154421,2589.018360080844,1,0,5,130.0,342300
Localidade 2,Tipo 2,0.4594244801381353,0.776890580169259,3846.9559701790745,632.0527419164171,1146.1720156562058,1,0,3,74.0,349400
Localidade 4,Tipo 1,0.0633579297533875,0.8565694679185266,4911.014422179666,3272.689949252488,330.84106037095324,0,0,4,87.0,761400
Localidade 3,Tipo 2,0.8108965848395187,0.9105651588113206,729.7877076312062,2867.9296797706224,2694.879769995238,0,0,24,,765500
Localidade 3,Tipo 1,0.6083183861983638,0.8756370159953755,1794.048055528343,936.6564854877888,955.9592074525036,0,0,7,157.0,1352300
Localidade 4,Tipo 2,0.6511672431656792,0.3445867035230512,2422.34151008417,2898.823609348656,1501.7820018861144,0,0,15,152.0,294900
Localidade 1,Tipo 2,0.2108834874386902,0.2523191720464954,1793.548411987607,4377.8023460317445,1869.3582237617843,1,0,15,173.0,397600
Localidade 2,Tipo 1,0.3375018079175668,0.2059780638569328,2686.485283513234,5390.108141972392,4527.397593030767,0,0,1,95.0,225200
Localidade 2,Tipo 1,0.1423080589851968,0.2820510349071106,730.1743107809033,6094.650727920308,5412.308377172242,0,0,9,156.0,205500
Localidade 2,Tipo 1,0.6462214678512093,0.9899072028029908,5041.958462426766,2620.2147686578737,3409.0315848765867,1,0,10,161.0,175000
Localidade 1,Tipo 1,0.6681945825919703,0.1093219052859272,4452.144716797681,5177.426076875287,1515.153666020415,0,0,11,185.0,798500
Localidade 3,Tipo 2,0.0245848836296557,0.6107552971085297,,1357.5079743748531,4301.322232017123,0,0,12,93.0,941500
Localidade 2,Tipo 1,0.0055485245013533,0.7330220045991014,4805.139995431823,5155.203066859746,5112.285243343755,1,0,3,77.0,197100
Localidade 3,Tipo 2,0.8186546149172051,0.951682244368936,571.1269958101904,2965.452447629884,2969.994907073362,0,0,20,192.0,840800
Localidade 4,Tipo 2,0.8542122809797731,0.6229551204545853,5781.680392852521,2891.6312138710146,2006.5716665928007,0,0,2,114.0,370900
Localidade 4,Tipo 2,0.7910507172445216,0.6093902066539992,5389.192890239851,2263.152661715721,1501.5199603666665,0,0,1,142.0,381800
Localidade 3,Tipo 1,0.5834122218231307,0.4175435914742084,630.9113701657908,3215.116571386932,1848.8180816471297,0,0,50,110.0,511500
Localidade 3,Tipo 1,0.5779391334053806,0.3561569610855168,1243.4587969847294,3392.6492935531983,1701.661273311654,0,0,14,128.0,1144100
Localidade 1,Tipo 2,0.4526820756331147,0.4242376843647183,1328.5928458899857,2326.9415652648127,1980.265054251176,1,0,13,123.0,417700
Localidade 1,Tipo 2,0.2158582689487593,0.7102564395083466,3364.8333780458943,1874.347724041697,2299.397160628099,1,0,5,59.0,476800
Localidade 3,Tipo 1,0.9506069189737884,0.2764333975641408,3638.050898701708,1258.4048965283782,3237.7638421360984,0,0,25,105.0,916400
Localidade 1,Tipo 2,0.814043362772357,0.3297298855149501,4197.197945586503,2550.3486421035896,1120.552683747367,0,0,4,151.0,549500
Localidade 1,Tipo 1,0.9916577566479616,0.1192514168572439,6081.442488840363,3986.832531788205,3130.1025751730213,0,0,22,114.0,642700
Localidade 2,Tipo 1,0.9962435185486472,0.0740585006436812,1959.0892239774623,2554.882851277452,4618.443176668858,0,0,5,163.0,211800
Localidade 1,Tipo 2,0.5905309165035382,0.0813898778591436,4090.446176172204,5891.416827474543,1667.7836672691435,0,0,14,58.0,451100
Localidade 1,Tipo 2,0.127813160080577,0.1440547578554438,3157.8808062297976,5717.064537294644,1076.9373447512992,1,0,5,194.0,487000
Localidade 3,Tipo 1,0.9153784980773412,0.6020057904348253,3398.489301711957,386.37753212055065,286.8438697523228,0,0,31,134.0,887200
Localidade 3,Tipo 1,0.6368480536914745,0.308004410138618,1000.2450911493056,3746.8940764585336,2348.0098740471058,0,0,32,154.0,794600
Localidade 1,Tipo 2,0.5795824014566796,0.5853953114907544,3208.3631736019856,1956.5494370905,571.5362580920113,0,0,7,117.0,534200
Localidade 3,Tipo 1,0.3711744021656941,0.9379976826836246,3931.656910462622,1544.6120968368307,2501.97654562508,0,0,50,194.0,493400
Localidade 2,Tipo 2,0.514345395738479,0.909968225820509,5121.8108337032845,1499.93441925108,2340.992314918452,1,0,4,159.0,325100
Localidade 1,Tipo 2,0.860455776550263,0.1659899479375381,5675.583942749619,3736.9617152153232,2498.734720968306,0,0,2,92.0,555600
